Label,Tweet
1,"The original manuscript of the #UN Charter preamble,complete with handwritten notes.
We are marking 75 years since 50 nations came together in San Francisco and created a new organization for peace, prosperity and human rights.
We have need peace in the world✊
#BlackLivesMatter"
0,"Where is #BML on this?  How is this ok, particularly when African American boys are more prone to worse reactions to vaccines?  #exposebillgates #faucifraud #investigatebillgates #blacklivesmatter 

First vaccinations begin in Africa for COVID-19 trial https://t.co/xnZcrXnpEd"
0,@pritipatel Presumeably Cressida Dick will obtain permission of community leaders in future before sending police to black areas. I hope that no black people were injured in the incident. #BlackLivesMatter Nottingham police handle crowd control more sensitively as this video demonstrates. https://t.co/bcbjFm3APo
1,God speed to the person filming this and the ancestors there to protect them. I see you little ghost orb. Keep working hard for us. #blacklivesmatter https://t.co/jOm91F97Fx
0,"#bournemouthbeach oh pandemic people are lying on the beach.
#brixtonriots ignore pretend it didnt happen none whites are doing it.
#blacklivesmatter yes insult the #nhs and 40k dead and risk deaths with #Covid19 like USA are now feeling the effects but hey it's not them. Bollox"
0,"Literally, like why were our names even in her mouth. Dragging #BlackLivesMatter into some mess for no reason. https://t.co/NXB9ysCrb5"
0,https://t.co/0wGfJwRxeC 🔊 Further On Up Road by The Band #AmericaOrTrump #DemilitarizeThePolice #BlackLivesMatter https://t.co/EMRyc9Otxe
0,"The @metpoliceuk weren't properly investigating, hence why the partner of one of the women found the bodies, close to where they were last seen, this is all so shameful and sad #BlackLivesMatter https://t.co/X5pCJqS9MQ"
1,"TIME !! /w my brothers 💧💧@speedope &amp; its.franchizz 

🎼 lilbaby_1 &amp; meekmill 

cc the_xpandables #hiphop #hiphopdance #xpandables #blacklivesmatter #black #dancersofinstagram @ Time City https://t.co/wIyLKY002A"
0,"@InsleyLynn @bbcquestiontime @GeorgeThePoet ""WASPI""s blew their chance of ever
getting a dime of their money when
they voted for lardarse.
@JeremyCorbyn promised you he
would repay you all dues.
You are fools and philistines and you haven't seen anything yet.
#RejectToryslavetraders 
#BlackLivesMatter"
1,"To overcome racial inequality, we must confront our history. Share this #racialinjustice #BlackLivesMatter https://t.co/A6SMppfM4U"
1,I’m an introvert. I’m just different. That’s all. I’m so sorry. #SAYHISNAME #ElijahMcClain #blacklivesmatter https://t.co/w3yACEm1Tg
0,"If these employees were Black this would quite rightly be leading the @BBCNews @SkyNews @itvnews @bbc5live @BBCr4today the treatment of these foreign employees is nothing short of racism. Yes, #BlackLivesMatter but #AllLivesMatter https://t.co/sJRBO1bvsR"
0,"cancel @BLACKPINK for their racist undertones, #BlackLivesMatter"
0,@acro_rocks @thethandi_way @davidhogg111 @mfolswva @MattxRed @Emma4Change @march4ourlives @lauren_hoggs What are you talking about? #blacklivesmatter think only whites can be racist.
1,Wow!  @ColerainePark you are challenging hearts and minds.  Everything always #worldclass #BlackLivesMatter https://t.co/RosbcP8hhO
0,"#Portland protest now at north precinct. Police announcing they will use ""impact munitions"" on protesters.   
https://t.co/iWIVkfoV0G
@dwatchnews_nam @JeffSantosShow @Thom_Hartmann #BLM #BlackLivesMatter #CHOP #GeorgeFloyd"
0,"What I struggle to understand is why people automatically get offended as soon as #blacklivesmatter is mentioned, are people honestly that stupid to think if you agree with the movement you suddenly hate anyone that isn't black?"
1,"Learn More! Debunk Myths!

#BlackLivesMatter #BlackHealth #CommunityHealth #SaveOurCities #AloneTogether #NationalHIVTestingDay https://t.co/slBpktVEaM"
1,"Check out https://t.co/OZm15Y0rgr

#anonymousvigyaa #asafeplace #anonymouswriting #writeanonymously #anonymouswritingplatform #anonymouswritingplatforms #blacklivesmatter #mentalhealth #mentalhealthawareness #mentalhealthmatters https://t.co/nSbIMuViWb"
1,"Check out https://t.co/n25pgGIxcW

#anonymousvigyaa #asafeplace #anonymouswriting #writeanonymously #anonymouswritingplatform #anonymouswritingplatforms #blacklivesmatter #mentalhealth #mentalhealthawareness #mentalhealthmatters https://t.co/eKwd8FV5hL"
0,"@KLAymes @HoarseWisperer @MollyJongFast Both she AND Don Jr think they have what it takes.... And really, who can blame them . Their father is the first White Supremacist to hold the office. 
#VoteTrumpOut 
#VoteBlueToSaveAmerica 
#BlackLivesMatter"
1,"#Archaeology in the Time of #blacklivesmatter panel yesterday was invaluable,  thank you to all the panelists and organizers. Time to act in the action items discussed. Support Dr. Jones @AITC_DC here https://t.co/rRv6c6h6IE 
 #BlackInArchaeology"
1,"@ongogeblogian1 @KCTV5 She's also Black! Her life matters too. It's not amazing, bro, just because she's Black. We, Black Americans, are just consistently awesome like that! #BlackLivesMatter ❤️❤️❤️"
1,#cancelculture #blacklivesmatter You can't change the past. Trying to erase it is a massive mistake. It's up to all of us to use what we've learned from the past to change the future and we are doomed to repeat the mistakes we hide.
0,"Hey #BlackLivesMatter people around the world, ISCR found a footage of REAL RACISM!

Art exhibition in #China depicting black people as animals.

Exactly what western MSM never would publish.

We should organize a demo😂

#HowYouLikeThat
#BLACKPINK 
#Pride
https://t.co/afLKPEAGoe"
1,"London BLM protest 20/06/2020, the fight must go on. #blacklivesmatter (2/2) https://t.co/op3HVxPvdl"
0,I have great respect for everyone who is frustrated that there is not enough change as a result of #BlackLivesMatter. But just look at the new alliances formed in just a few days. And then remember how long it took the protests in civil rights days to take effect. It took ages.
1,This documentary about Black British activists is free to watch for today only: https://t.co/7Ff0nB6A5w #BlackLivesMatter #SayHerName
1,"Let's get to work!
.
It's #2020, the year of drastic #change - so make it count! - Let's make our brothers and sisters of the #BLM movement seen and heard, because #blacklivesmatter - Let's take a moment and think about #racism in your country and how yo… https://t.co/UwWMAbtBx0 https://t.co/QoQrzjt3rG"
0,"@NippySweetyLass and un GUILTY
stalin was among the founders
and putin uses the vetoes to cover mass killing
#BlackLivesMatter #BlackLivesMatterItalia #SyrianLivesMatter #allLivesMatterEqual #ALME #SyriaHolocaust #unGUILTY"
1,We must ensure the existence of our people and the future of black children. #blacklivesmatter
0,"#bournemouthbeach - dumbfuckery at its finest. 

#BlackLivesMatter &amp; far right protestors - So hypocritical

#Brixtonriots - Scum

#liverpoolfc fans - Selfish cockwombles.

Media - Cowards 

To our brilliant @NHSu &amp; police Some of us are still so grateful for you 👍🏿👍🏻

#covid19UK"
0,"@WestminsterWAG Hi Sarah, you were very scathing about #BlackLivesMatter crowds spreading #Covid19 but silent on the 500,000 people on beaches. Is that because the former were mainly black &amp; the latter mainly white? Or in words you understand: Is it because you're a racist?"
0,#BlackLivesMatter is a terrorist organization! https://t.co/Ua1gA2wMMr
0,The retard wing of #BlackLivesMatter is practically the whole thing..
1,"@goodoldcatchy @KappusAnnemarie That’s not what I’m saying. I’m saying I care more about #blacklivesmatter and #BlackTransLivesMatter and LGBTQ rights and the covid-19 deaths more than I care about Assange backing the wrong horse. If you feel differently than I respect that, but it’s not my opinion"
0,"If the Lamestream Media isn’t covering it then it must be huge and go high up the ladder.
.
.
.
#fakenews #qanon #blacklivesmatter #blm #racism #children #cnn #thegreatawakening #draintheswamp #wwg1wga #biden #democrats #pizzagate #epsteindidntkillhimself #childrenarethefuture https://t.co/SBoPSCEPrH"
1,"@realDevinDuncan @Wall2beal4life Anyway we're getting off topic. #BlackLivesMatter #BlueLivesMatter #AllLivesMatter #WhiteLivesMatter etc are all viable for the people who wants to use them, if it helps them cope with the current situations. I rather have people vent online, then riots in the street."
1,@gatewaypundit I agree. #blacklivesmatter
1,"Why do we not know more about people like Olive Morris? #BlackLivesMatter #educateyourself 
https://t.co/fS6tuVJkvz"
1,👀tonight👀 #blacklivesmatter #blm https://t.co/2Bc5eblD57
0,"@JakeChams Same. I can’t believe this happened in August and we’re all just hearing about it now. Such a kind soul taken and not a damn thing done about it , YET❣️💔🖤#JusticeForElijahMcClain #BlackLivesMatter"
0,"Exactly what the whole hoo-ha was masking. Anyone bringing attention to the excessive violence of police and the thinking behind it is being shut up. Anything to divert attention from the real fight against racism via #BlackLivesMatter  has to be silenced.
https://t.co/4fhHf3ACNa"
1,Pointer Sisters - Automatic (1984) https://t.co/qRTnzvrcnc via @YouTube #sunriser #blacklivesmatter #covid #BreonnaTaylor #FridayFeeling #sunrise #OnTheRecord #girlmagic
1,"""The only thing that punk rock should ever really mean, is not sitting round and waiting for the lights to go green.""
- Frank Turner
#blacklivesmatter
#SilenceIsViolence https://t.co/adCPjm8XR8"
0,"@cjtruth @Johnny_B_Q Well sure, ya know, because #BlackLivesMatter to @BillGates and @MelindaGates.  They'd like to infect them w/their 666 vaccines first. /s"
1,#FashionCritical  The #Covid19UK  #COVID19 pandemic is shining and spotlight on the high human cost of cheap fashion. #BlackLivesMatter #WomensLivesMatter in garment factories! Protesters - do the right thing! Boycott. https://t.co/ZTJyIT3ILX
0,#BlackLivesMatter POV: A Monument to White Supremacy Stands in Our Own Backyard https://t.co/tq640PLnxS
